Name,Desctipion,Image,Summary,Features,Admission,Address,Phone,,,,
The Metropolitan Museum of Art,"One of the world’s largest art museums, with over 2 million works spanning 5,000 years of art from ancient civilizations to modern times, including extensive collections in European paintings, American art, Egyptian artifacts, and more.",images/met.jpg,Iconic NYC museum offering vast global art treasures and world-class exhibitions.,,$30 for adults,"1000 Fifth Avenue, New York, NY 10028",(212) 535-7710,,,,
American Museum of Natural History,"Renowned for dinosaur fossils, planetarium, anthropology, and massive natural science collections.",images/amnh ny.jpg,"World-famous for its fossils, space shows, and educational exhibits.","3,4,5,6,7,9,10,11,12,13,14,15,17",$25–$30 adults.,"200 Central Park West, New York, NY 10024",(212) 769-5100,,,,
Museum of Modern Art,"Premier collection of modern and contemporary art, design, photography, and film.",images/moma.jpg,Leading hub for 20th–21st century art and innovation.,"3,4,5,6,9,10,11,12,14,17",$30 adults.,"11 West 53rd Street, New York, NY 10019",(212) 708-9400,,,,
National Gallery of Art,"Extensive collection of Western art from the Middle Ages to the present, plus sculpture garden.",images/NGOA.jpg,Free national treasure showcasing exceptional art on the National Mall.,"1,9,10,11,12,13,14,17,18",Free,"6th Street & Constitution Ave NW, Washington, DC 20565",(202) 737-4215,,,,
National Museum of Natural History,"Smithsonian museum covering dinosaurs, gems, ocean life, human origins, and more.",images/NMNH.jpg,Immersive exploration of Earth’s natural world.,"1,9,10,11,12,13,14,15,17",Free,"10th Street & Constitution Ave NW, Washington, DC 20560",(202) 633-1000,,,,
National Air and Space Museum,"Iconic for its aviation and space artifacts, including the Wright Flyer and Apollo spacecraft. It inspires wonder about human exploration and scientific achievement on a grand scale.",images/air and space.jpg,Celebrating human achievement in flight and space.,"1,9,10,11,12,13,14,15,17",Free (IMAX/simulators extra),"600 Independence Ave SW, Washington, DC 20560",(202) 633-2214,,,,
Art Institute of Chicago,World-class collection including Impressionist masterpieces and global art.,images/AIC.jpg,Chicago landmark with centuries of art near Millennium Park.,"4,5,6,9,10,11,12,13,14,16",$32 general.,"111 South Michigan Avenue, Chicago, IL 60603",(312) 443-3600,,,,
J. Paul Getty Museum (Getty Center),"European art, photography, and decorative arts in a stunning hilltop complex with gardens.",images/getty.jpg,Free art and architecture experience with LA views.,"1,2,6,8,9,10,11,12,13,17,18",Free (timed entry).,"1200 Getty Center Drive, Los Angeles, CA 90049",(310) 440-7300,,,,
Los Angeles County Museum of Art (LACMA),Large encyclopedic collection with strong modern and contemporary focus.,images/LACMA.jpg,Major West Coast art museum in an urban park setting.,"3,4,5,6,9,10,11,12,14,16,18",$25 adults (varies/free some days).,"5905 Wilshire Blvd, Los Angeles, CA 90036",(323) 857-6000,,,,
Museum of Fine Arts,"Comprehensive holdings in American, European, Asian, and ancient art.",images/MFA.jpg,Boston’s premier encyclopedic art museum.,"3,4,5,6,9,10,11,12,13,14,16",$30 adults.,"465 Huntington Avenue, Boston, MA 02115",(617) 267-9300,,,,
