1,Free Admission,General or suggested admission is free (or always free for core galleries).
2,Timed Entry Required,Free or paid timed reservations needed for entry.
3,Senior Discount,Reduced price for seniors (Usually 65+ with ID).
4,Student Discount,Reduced price for students (with valid ID).
5,Free For Children,Free admission for kids (usually under 12-16; age varies).
6,Member Benefits,"Early access, free entry, discounts, or exclusive events for memebers."
7,Paid Parking,On-site or nearby parking available but costs money (often with time of day discounts).
8,Free/Limited Free Parking,Free parking (sometimes for specific groups like military/veterans or after certain hours).
9,Accessibility Services ,"Wheelchair access, care partner free entry, assistive services, etc."
10,Audio Guides/Tours,"Free or low-cost audio guides, app tours, or daily docent-led tours."
11,Dining/Cafe,"On-site restaurants, cafes, or food options."
12,Gift Shops,"Museum stores for souvenirs, books, art related items."
13,Family/Kid Programs,Interative or educational programs geared toward families/children.
14,Public Transit Friendly,Strong emphasis on subway/bus access; limited parking encouraged. 
15,Special Exhibitions(Extra Fee),Some rotating exhibits require additional tickets beyond general admission.
16,Free for Locals/residents,Free or discounted days/pricing specifically for local residents.
17,WiFi/Digital Tools,"Free WiFi, mobile apps, or interactive digital experiences."
18,Gardens/ Outdoor spaces,"Outdoor sculpture gardens, architecture, or scenic areas."
